"0","Assume be","383.28","true","3","0","B","Hour million","1","6.jpg"
"1","Turn small research describe","42.47","true","2","0","A","Issue grow ask","19","4.jpg"
"2","Total later","346.25","true","3","0","C","Debate among way","13","7.jpg"
"3","Perhaps bit learn","185.69","true","0","0","B","Chance image quite there","20","4.jpg"
"4","Quickly thousand street your","325.85","true","4","0","B","Act relationship section","20","5.jpg"
"5","Stand along chance either","401.19","false","4","0","C","At be than always","10","3.jpg"
"6","Candidate feel serve","229.42","true","1","0","C","Measure too maybe off","15","2.jpg"
"7","Serious wrong section town deal","274.76","false","3","0","B","Only surface something prevent a","13","2.jpg"
"8","Few now four","252.33","false","3","0","A","Artist political camera expert","13","9.jpg"
"9","Area along individual man","442.77","true","1","0","B","Along letter learn big","12","8.jpg"
"10","After our car","165.13","false","1","0","C","Book art red pass","13","9.jpg"
"11","Practice wide require fast","434.16","false","2","0","A","Team yet although hot he","4","4.jpg"
"12","Lay smile away","22.05","false","2","0","A","Project occur democratic behavior standard","1","1.jpg"
"13","Single recognize information figure box","218.72","false","0","0","C","As indeed choose west","4","5.jpg"
"14","Issue indicate market ten","166.92","false","0","0","B","Building reality","12","8.jpg"
"15","Girl act window standard","36.76","true","1","0","A","Probably rule too","1","5.jpg"
"16","Fall ready","477.77","true","1","0","B","Both general where candidate","6","5.jpg"
"17","Gun list fall","479.70","false","1","0","C","Bill ok","19","3.jpg"
"18","Heavy chair by","114.40","true","1","0","C","Head production technology","6","7.jpg"
"19","After back available inside nearly","379.18","false","2","0","B","Easy plan","12","8.jpg"
"20","Around impact individual rock fly","104.47","false","3","0","B","Someone everybody newspaper","3","0.jpg"
"21","Somebody land human","393.53","false","1","0","C","Future model green place","8","0.jpg"
"22","Low data","0.89","false","4","0","A","Despite boy","15","6.jpg"
"23","Feeling participant interest seem begin","254.97","true","4","0","C","Place again establish","13","0.jpg"
"24","A huge","455.74","false","3","0","C","Government the pull","4","7.jpg"
"25","Other along society","156.68","false","0","0","B","Three seven attention","17","3.jpg"
"26","Executive care mission","107.68","true","3","0","C","Scientist tough everything kind","18","5.jpg"
"27","Pick church recent high opportunity","71.71","false","2","0","C","Design major maybe manage","16","1.jpg"
"28","Know central","253.06","true","0","0","A","Hospital year suffer without","12","9.jpg"
"29","Rather score","342.50","true","2","0","A","Per yourself","2","3.jpg"
"30","Road dinner seem","147.24","true","3","0","A","Himself former possible reach","15","8.jpg"
"31","Language remember model","66.26","true","3","0","B","Interview man role somebody","12","1.jpg"
"32","Vote only anyone home","119.81","true","1","0","A","Sea quality","12","5.jpg"
"33","Particularly partner relate","262.96","false","2","0","C","Approach recent program possible","14","7.jpg"
"34","Upon value ok majority region","110.43","false","0","0","A","Clear about","2","4.jpg"
"35","Cell skill","348.28","false","4","0","C","Cover part paper beat","8","4.jpg"
"36","Follow lay foot agreement","22.24","false","0","0","C","Generation study economy rock feeling","7","1.jpg"
"37","Team effort gas Republican and","478.70","true","0","0","C","Right answer speak without","15","5.jpg"
"38","Key beat drop step","78.52","true","3","0","C","Stand next","20","3.jpg"
"39","Always Congress majority campaign","445.35","false","2","0","C","News experience","14","8.jpg"
"40","Smile represent since method left","324.33","false","1","0","C","Past Republican common","1","4.jpg"
"41","Eat expect save process","379.68","false","0","0","B","Population brother say grow","4","1.jpg"
"42","Produce develop story drive million","345.41","true","2","0","C","Old case administration","16","6.jpg"
"43","Foreign one agent candidate","202.19","true","4","0","B","Share sit simple","3","9.jpg"
"44","Should wide dog car do","196.45","true","3","0","A","Street money grow lay actually","4","4.jpg"
"45","New clear these","414.94","false","4","0","A","Else page","11","3.jpg"
"46","Start size himself","30.26","true","2","0","A","Television protect process difficult","8","0.jpg"
"47","Public figure ground much","374.80","true","2","0","C","Physical agency and difficult","1","4.jpg"
"48","At artist will institution","456.27","false","3","0","B","Find power road size","5","1.jpg"
"49","Him important enough most","376.87","false","0","0","A","Important hope about","19","2.jpg"
"50","Perform product style","358.18","true","2","0","A","East against southern","8","0.jpg"
"51","Sea stuff no","367.10","false","4","0","A","Pick report past always future","4","8.jpg"
"52","Agree usually already bed","149.85","true","3","0","C","Green save identify establish","8","6.jpg"
"53","War address morning explain","240.04","false","0","0","C","Return identify many again","15","8.jpg"
"54","Effect quite","359.99","false","1","0","B","Future without will decade not","17","8.jpg"
"55","Source wall drug purpose","272.87","false","1","0","A","Suffer star once anything","5","3.jpg"
"56","Weight guy personal","165.63","false","4","0","C","A cell analysis","14","9.jpg"
"57","Game act return","465.85","false","4","0","B","Nature interest","7","9.jpg"
"58","Morning as police","296.14","false","3","0","B","Expect investment yard","9","7.jpg"
"59","Watch Mrs never","175.24","false","1","0","B","Choice produce type none guess","1","5.jpg"
"60","No in","314.97","true","0","0","A","Word citizen create great record","12","5.jpg"
"61","Room eat","456.30","false","1","0","C","Of door","14","1.jpg"
"62","Tell time special beyond","96.21","false","0","0","B","Wait education think similar","14","9.jpg"
"63","Foreign film manage several dark","203.49","false","3","0","C","Let stop camera report foreign","2","5.jpg"
"64","Huge TV","69.05","true","4","0","A","Above course book music","12","3.jpg"
"65","Fire subject","488.03","false","3","0","A","Image central challenge","5","4.jpg"
"66","Memory clear throughout","466.61","true","4","0","A","Reality recently hold conference son","2","3.jpg"
"67","Ball company","135.25","false","2","0","B","Military lead travel","9","2.jpg"
"68","Need although one political","17.96","false","0","0","B","Particularly speech mission remember","7","6.jpg"
"69","Live new myself","420.66","false","0","0","A","Into good","3","1.jpg"
"70","From her gun subject","325.15","true","2","0","A","Safe affect though","1","3.jpg"
"71","Analysis population recognize","407.49","true","4","0","A","Truth unit impact key","6","9.jpg"
"72","Top series public none sound","211.23","true","3","0","C","We ask benefit","9","8.jpg"
"73","Go computer","315.88","true","2","0","C","Second reason live teach movie","15","1.jpg"
"74","So teach energy possible","49.10","false","2","0","A","Why child might source","4","1.jpg"
"75","A front","483.70","true","1","0","C","Policy drug these","6","3.jpg"
"76","Foreign agency when personal huge","115.30","false","2","0","C","Goal clear inside","6","9.jpg"
"77","Theory case north add","476.74","true","3","0","A","Affect station member","6","6.jpg"
"78","Another understand","293.78","true","1","0","A","Industry nothing","13","5.jpg"
"79","Represent two hair describe","204.09","true","3","0","A","Whom it job likely","19","0.jpg"
"80","Trouble drive loss","471.74","true","2","0","C","Head against particularly listen down","9","0.jpg"
"81","Particularly test","200.80","true","4","0","A","Require agree inside","2","2.jpg"
"82","Item bit leave left","86.43","false","3","0","C","Truth ten seven both happy","6","1.jpg"
"83","Pick she picture","385.06","true","2","0","B","Foot herself among necessary alone","6","3.jpg"
"84","Especially road get car","313.45","true","0","0","C","Huge away represent race sing","14","0.jpg"
"85","Risk catch check clearly ahead","69.63","false","4","0","C","Range sort trial study","10","0.jpg"
"86","Tonight garden maybe","169.68","true","3","0","C","Doctor trip her","18","6.jpg"
"87","We memory who yet","416.12","true","1","0","C","Other relate very military recent","1","1.jpg"
"88","Other owner message","136.88","true","3","0","B","Action throughout","3","1.jpg"
"89","Five put hard recent","341.62","true","1","0","A","Still back task TV collection","18","1.jpg"
"90","These military part","106.56","false","2","0","C","Care hold those north trouble","1","4.jpg"
"91","Popular if","119.64","false","0","0","B","Big strategy make population line","16","6.jpg"
"92","Discover hair few","311.18","false","0","0","A","Hotel well news enter","3","0.jpg"
"93","Sport father growth","48.17","true","1","0","C","Cup almost identify record own","19","7.jpg"
"94","Use nice","447.99","false","0","0","A","Dinner stuff find","1","9.jpg"
"95","Across great western","474.43","true","0","0","A","Institution school white team certainly","10","6.jpg"
"96","Very score loss","450.45","false","3","0","A","Story budget great","20","4.jpg"
"97","Director remember place grow","142.45","false","2","0","B","Tough building child usually","4","7.jpg"
"98","Upon full director","348.49","false","3","0","C","Woman with not peace","17","2.jpg"
"99","Maybe main fire range","47.60","false","3","0","C","Worker offer American behavior","8","3.jpg"
